coachid,firstname,lastname,season_win,season_loss,playoff_win,playoff_loss
ADELMRI01 ,Rick,Adelman,658,411,67,60
ADUBARI01 ,Richie,Adubato,127,240,3,5
AINGEDA01 ,Danny,Ainge,136,90,3,9
ALBECST01 ,Stan,Albeck,307,267,18,26
ARMSTPA01 ,Paul,Armstrong,22,32,0,0
ATTLEAL01 ,Al,Attles,557,518,31,30
AUERBRE01 ,Red,Auerbach,938,479,99,69
AYERSRA01 ,Randy,Ayers,21,31,0,0
BACHJO01  ,John,Bach,95,172,0,0
BADGEED01 ,Ed,Badger,84,80,1,2
BARKECL01 ,Cliff,Barker,63,57,3,3
BASSBO01  ,Bob,Bass,60,51,1,5
BAYLOEL01 ,Elgin,Baylor,86,135,0,0
BEARDBU01 ,Butch,Beard,60,104,0,0
BENNECA01 ,Carl,Bennett,0,6,0,0
BERRYBI01 ,Bill,Berry,0,2,0,0
BERTKBI01 ,Bill,Bertka,1,0,0,0
BIANCAL01 ,Al,Bianchi,53,111,0,0
BICKEBE01 ,Bernie,Bickerstaff,337,344,12,21
BIRCHPA01 ,Paul,Birch,120,147,4,10
BIRDLA01  ,Larry,Bird,147,67,32,20
BLAIRBI01 ,Bill,Blair,29,79,0,2
BORYLVI01 ,Vince,Boryla,80,85,0,0
BRAUNCA01 ,Carl,Braun,40,87,0,0
BRISTAL01 ,Allan,Bristow,207,203,5,8
BROVEJI01 ,Jim,Brovelli,5,13,0,0
BROWNHE01 ,Herb,Brown,72,74,5,7
BROWNHU01 ,Hubie,Brown,419,488,14,24
BROWNLA01 ,Larry,Brown,933,713,85,79
BROWNPH01 ,Philip,Brownstein,50,29,0,3
BUCKNQU01 ,Quinn,Buckner,13,69,0,0
BUCKWBU01 ,Bucky,Buckwalter,13,24,0,0
BUTCHDO01 ,Donnis,Butcher,52,63,2,4
BZDELJE01 ,Jeff,Bzdelik,60,104,1,4
CALIPJO01 ,John,Calipari,72,112,0,3
CARLEPJ01 ,PJ,Carlesimo,183,222,3,9
CARLIRI01 ,Rick,Carlisle,161,85,22,21
CARRML01  ,ML,Carr,48,116,0,0
CARROJO01 ,John,Carroll,14,22,0,4
CARTEBU01 ,Butch,Carter,73,92,0,3
CARTEFR01 ,Fred,Carter,32,76,0,0
CARTWBI01 ,Bill,Cartwright,51,100,0,0
CASEYDO01 ,Don,Casey,85,153,0,0
CASTEJO01 ,John,Castellani,11,25,0,0
CERVIAL01 ,Al,Cervi,326,241,33,26
CHANEDO01 ,Don,Chaney,317,432,2,9
CHEEKMA01 ,Maurice,Cheeks,140,106,3,7
CLEAMJI01 ,Jim,Cleamons,28,70,0,0
CLIFFRO01 ,Roy,Clifford,13,10,1,2
COHALNE01 ,Neil,Cohalan,33,27,2,3
COLANJE01 ,Jerry,Colangelo,59,59,3,4
COLLIDO01 ,Doug,Collins,332,287,15,23
COSTELA01 ,Larry,Costello,430,300,37,23
COUSYBO01 ,Bob,Cousy,141,209,0,0
COWENDA01 ,Dave,Cowens,161,191,4,8
CUNNIBI01 ,Billy,Cunningham,454,196,66,39
CURTIGL01 ,Glenn,Curtis,12,22,0,0
DANTOMI01 ,Mike,D'Antoni,35,76,0,0
DALYCH01  ,Chuck,Daly,638,437,75,51
DANIEME01 ,Mel,Daniels,0,2,0,0
DARDEJI01 ,Jimmy,Darden,11,51,0,0
DAVISJO01 ,Johnny,Davis,42,111,0,0
DEBUSDA01 ,Dave,DeBusschere,79,143,0,0
DEHNEDU01 ,Dutch,Dehnert,17,20,0,0
DELANDO01 ,Don,Delaney,7,19,0,0
DOVOVED01 ,Eddie,Dovovan,84,194,0,0
DUFFEIK01 ,Ike,Duffey,1,2,0,0
DUNLEMI01 ,Mike,Dunleavy,426,444,31,28
ECKMACH01 ,Charles,Eckman,123,118,10,13
EGANJO01  ,John,Egan,129,152,3,5
EVANSMI01 ,Mike,Evans,18,38,0,0
FARMEMI01 ,Mike,Farmer,1,8,0,0
FEERIBO01 ,Bob,Feerick,63,85,0,2
FITCHBI01 ,Bill,Fitch,944,1106,55,54
FITZGDI01 ,Dick,Fitzgerald,2,1,0,0
FITZSCO01 ,Cotton,Fitzsimmons,832,775,35,49
FLOYDTI01 ,Tim,Floyd,90,231,3,4
FORDCH01  ,Chris,Ford,323,376,13,16
FRANKLA01 ,Larry,Frank,25,15,7,4
FRATEMI01 ,Mike,Fratello,572,465,20,34
FRIDDBU01 ,Burl,Friddle,14,29,0,0
GALLAHA01 ,Harry,Gallatin,136,120,12,11
GENTRAL01 ,Alvin,Gentry,177,226,2,3
GOTTLED01 ,Eddie,Gottlieb,263,318,15,17
GREGOED01 ,Ed,Gregory,4,14,0,0
GUERIRI01 ,Richie,Guerin,327,291,26,34
GUOKAMA01 ,Matt,Guokas,230,305,8,9
HALEBR01  ,Bruce,Hale,4,13,0,0
HAMBLFR01 ,Frank,Hamblen,25,42,0,0
HAMILLE01 ,Leonard,Hamilton,19,63,0,0
HANNUAL01 ,Alex,Hannum,431,370,45,34
HANZLBI01 ,Bill,Hanzlik,11,71,0,0
HARRIDE01 ,Del,Harris,554,457,38,48
HARRILE01 ,Les,Harrison,295,181,19,19
HARTIDI01 ,Dick,Hartier,28,94,0,0
HAYMALE01 ,Lew,Hayman,0,1,0,0
HEARDGA01 ,Gar,Heard,23,74,0,0
HEINSTO01 ,Tom,Heinsohn,427,263,47,33
HICKENA01 ,Nat,Hickey,4,25,0,0
HILLBO01  ,Bob,Hill,257,212,17,20
HILLBR01  ,Brian,Hill,222,227,18,18
HOLLILI01 ,Lionel,Hollins,18,42,0,0
HOLZMRE01 ,Red,Holzman,696,604,58,47
HOPKIBO01 ,Bob,Hopkins,5,17,0,0
HUGHERE01 ,Rex,Hughes,23,35,0,0
INMANST01 ,Stu,Inman,6,20,0,0
IRVINGE01 ,George,Irvine,100,190,0,3
ISSELDA01 ,Dan,Issel,180,208,6,6
JACKSPH01 ,Phil,Jackson,832,316,175,69
JACKSST01 ,Stu,Jackson,58,78,4,6
JEANNBU01 ,Buddy,Jeannette,40,56,5,5
JOHNSDE01 ,Dennis,Johnson,8,16,0,0
JOHNSFR01 ,Frank,Johnson,63,71,2,4
JOHNSMA01 ,Magic,Johnson,5,10,0,0
JOHNSPH01 ,Phil,Johnson,236,306,2,7
JOHNSNE01 ,Neil,Johnston,95,59,4,8
JONESKC01 ,KC,Jones,522,252,81,57
JONESWA01 ,Wally,Jones,7,5,1,2
JORDAED01 ,Eddie,Jordan,58,121,0,0
JUCKEED01 ,Ed,Jucker,80,84,0,0
JULIAAL01 ,Alvin,Julian,47,81,0,0
KARLGE01  ,George,Karl,708,499,59,67
KAUFFBO01 ,Bob,Kauffman,29,29,0,0
KERRJO01  ,John,Kerr,93,190,1,7
KLOPPBO01 ,Bob,Kloppenburg,3,9,0,0
KRUGELO01 ,Lon,Kruger,69,122,0,0
KUNDLJO01 ,John,Kundla,423,302,60,35
LANIEBO01 ,Bob,Lanier,12,25,0,0
LAPCHJO01 ,Joe,Lapchick,326,247,30,30
LAYDEFR01 ,Frank,Layden,277,294,18,23
LEEGE01   ,George,Lee,63,71,2,4
LEONABO01 ,Bob,Leonard,186,264,0,0
LEVANAN01 ,Andrew,Levane,106,170,0,2
