coachid,year,yr_order,firstname,lastname,season_win,season_loss,playoff_win,playoff_loss,team
RUSSEJO01 ,1946,1,John,Russell,22,38,0,0,BOS
OLSENHA01 ,1946,1,Harold,Olsen,39,22,5,6,CH1
DEHNEDU01 ,1946,1,Dutch,Dehnert,17,20,0,0,CL1
CLIFFRO01 ,1946,2,Roy,Clifford,13,10,1,2,CL1
CURTIGL01 ,1946,1,Glenn,Curtis,12,22,0,0,DE1
SACHSPH01 ,1946,1,Philip,Sachs,8,18,0,0,DE1
COHALNE01 ,1946,1,Neil,Cohalan,33,27,2,3,NYK
GOTTLED01 ,1946,1,Eddie,Gottlieb,35,25,8,2,PH1
BIRCHPA01 ,1946,1,Paul,Birch,15,45,0,0,PIT
MORRIRO01 ,1946,1,Robert,Morris,28,32,0,0,PRO
LOEFFKE01 ,1946,1,Ken,Loeffler,38,23,1,2,ST1
FITZGDI01 ,1946,1,Dick,Fitzgerald,2,1,0,0,TO1
SADOWED01 ,1946,2,Ed,Sadowski,3,9,0,0,TO1
HAYMALE01 ,1946,3,Lew,Hayman,0,1,0,0,TO1
ROLFERO01 ,1946,4,Robert,Rolfe,17,27,0,0,TO1
AUERBRE01 ,1946,1,Red,Auerbach,49,11,2,4,WSC
JEANNBU01 ,1947,1,Buddy,Jeannette,28,20,9,3,BA1
RUSSEJO01 ,1947,1,John,Russell,20,28,1,2,BOS
OLSENHA01 ,1947,1,Harold,Olsen,28,20,3,4,CH1
LAPCHJO01 ,1947,1,Joe,Lapchick,26,22,1,2,NYK
GOTTLED01 ,1947,1,Eddie,Gottlieb,27,21,6,7,PH1
HICKENA01 ,1947,1,Nat,Hickey,4,25,0,0,PRO
SOARAL01  ,1947,2,Albert,Soar,2,17,0,0,PRO
LOEFFKE01 ,1947,1,Ken,Loeffler,29,19,3,4,ST1
AUERBRE01 ,1947,1,Red,Auerbach,28,20,0,0,WSC
JEANNBU01 ,1948,1,Buddy,Jeannette,29,31,1,2,BA1
JULIAAL01 ,1948,1,Alvin,Julian,25,35,0,0,BOS
OLSENHA01 ,1948,1,Harold,Olsen,28,21,0,2,CH1
BROWNPH01 ,1948,2,Philip,Brownstein,10,1,0,0,CH1
BENNECA01 ,1948,1,Carl,Bennett,0,6,0,0,DET
ARMSTPA01 ,1948,2,Paul,Armstrong,22,32,0,0,DET
HALEBR01  ,1948,1,Bruce,Hale,4,13,0,0,INJ
FRIDDBU01 ,1948,2,Burl,Friddle,14,29,0,0,INJ
KUNDLJO01 ,1948,1,John,Kundla,44,16,8,2,MIE
LAPCHJO01 ,1948,1,Joe,Lapchick,32,28,3,3,NYK
GOTTLED01 ,1948,1,Eddie,Gottlieb,28,32,0,2,PH1
LOEFFKE01 ,1948,1,Ken,Loeffler,12,48,0,0,PRO
HARRILE01 ,1948,1,Les,Harrison,45,15,2,2,ROC
LEWISGR01 ,1948,1,Grady,Lewis,29,31,0,2,ST1
AUERBRE01 ,1948,1,Red,Auerbach,38,22,6,5,WSC
SCHULHO01 ,1949,1,Howie,Schultz,21,14,0,0,AND
DUFFEIK01 ,1949,2,Ike,Duffey,1,2,0,0,AND
MOOREDO01 ,1949,3,Doxie,Moore,15,11,4,4,AND
JEANNBU01 ,1949,1,Buddy,Jeannette,25,43,0,0,BA1
JULIAAL01 ,1949,1,Alvin,Julian,22,46,0,0,BOS
BROWNPH01 ,1949,1,Philip,Brownstein,40,28,0,3,CH1
MENDEMU01 ,1949,1,Murray,Mendenhall,40,28,2,2,DET
DARDEJI01 ,1949,1,Jimmy,Darden,11,51,0,0,DN1
BARKECL01 ,1949,1,Cliff,Barker,39,25,3,3,INI
KUNDLJO01 ,1949,1,John,Kundla,51,17,10,2,MIE
LAPCHJO01 ,1949,1,Joe,Lapchick,40,28,3,2,NYK
GOTTLED01 ,1949,1,Eddie,Gottlieb,26,42,0,2,PH1
HARRILE01 ,1949,1,Les,Harrison,51,17,0,2,ROC
SUESEKE01 ,1949,1,Ken,Suesens,22,40,1,2,SHE
LEWISGR01 ,1949,1,Grady,Lewis,26,42,0,0,ST1
CERVIAL01 ,1949,1,Al,Cervi,51,13,6,5,SYR
AUERBRE01 ,1949,1,Red,Auerbach,28,29,1,2,TRI
POTTERO01 ,1949,2,Roger,Potter,1,6,0,0,TRI
SHIPPCH01 ,1949,1,Charley,Shipp,8,27,0,0,WAT
SMILEJA01 ,1949,2,Jack,Smiley,11,16,0,0,WAT
FEERIBO01 ,1949,1,Bob,Feerick,32,36,0,2,WSC
JEANNBU01 ,1950,1,Buddy,Jeannette,14,23,0,0,BA1
BUDKOWA01 ,1950,2,Walt,Budko,10,19,0,0,BA1
AUERBRE01 ,1950,1,Red,Auerbach,39,30,0,2,BOS
MENDEMU01 ,1950,1,Murray,Mendenhall,32,36,1,2,DET
BARKECL01 ,1950,1,Cliff,Barker,24,32,0,0,INI
JONESWA01 ,1950,2,Wally,Jones,7,5,1,2,INI
KUNDLJO01 ,1950,1,John,Kundla,44,24,3,4,MIE
LAPCHJO01 ,1950,1,Joe,Lapchick,36,30,8,6,NYK
GOTTLED01 ,1950,1,Eddie,Gottlieb,40,26,0,2,PH1
HARRILE01 ,1950,1,Les,Harrison,41,27,9,5,ROC
CERVIAL01 ,1950,1,Al,Cervi,32,34,4,3,SYR
LOGANJO01 ,1950,1,John,Logan,2,1,0,0,TRI
TODORMI01 ,1950,1,Mike,Todorovich,14,28,0,0,TRI
MCMILDA01 ,1950,1,Dave,McMillan,9,14,0,0,TRI
MCKINHO01 ,1950,1,Horace,McKinney,10,25,0,0,WSC
SCOLAFR01 ,1951,1,Fred,Scolari,12,27,0,0,BA1
REISECH01 ,1951,2,Chuck,Reiser,8,19,0,0,BA1
AUERBRE01 ,1951,1,Red,Auerbach,39,27,1,2,BOS
BIRCHPA01 ,1951,1,Paul,Birch,29,37,0,2,DET
SCHAEHE01 ,1951,1,Herm,Schaefer,34,32,0,2,INI
MOOREDO01 ,1951,1,Doxie,Moore,17,49,0,0,MI1
KUNDLJO01 ,1951,1,John,Kundla,40,26,9,4,MIE
LAPCHJO01 ,1951,1,Joe,Lapchick,37,29,8,6,NYK
GOTTLED01 ,1951,1,Eddie,Gottlieb,33,33,1,2,PH1
HARRILE01 ,1951,1,Les,Harrison,41,25,3,3,ROC
CERVIAL01 ,1951,1,Al,Cervi,40,26,3,4,SYR
REISECH01 ,1952,1,Chuck,Reiser,0,3,0,0,BA1
BEECL01   ,1952,2,Clair,Bee,16,51,0,0,BA1
AUERBRE01 ,1952,1,Red,Auerbach,46,25,3,3,BOS
BIRCHPA01 ,1952,1,Paul,Birch,36,33,4,4,DET
SCHAEHE01 ,1952,1,Herm,Schaefer,28,43,0,2,INI
LEVANAN01 ,1952,1,Andrew,Levane,27,44,0,0,MI1
KUNDLJO01 ,1952,1,John,Kundla,48,22,9,3,MIE
LAPCHJO01 ,1952,1,Joe,Lapchick,47,23,6,5,NYK
GOTTLED01 ,1952,1,Eddie,Gottlieb,12,57,0,0,PH1
HARRILE01 ,1952,1,Les,Harrison,44,26,1,2,ROC
CERVIAL01 ,1952,1,Al,Cervi,47,24,0,2,SYR
BEECL01   ,1953,1,Clair,Bee,16,56,0,0,BA1
AUERBRE01 ,1953,1,Red,Auerbach,42,30,2,4,BOS
BIRCHPA01 ,1953,1,Paul,Birch,40,32,0,4,DET
LEVANAN01 ,1953,1,Andrew,Levane,11,35,0,0,MI1
HOLZMRE01 ,1953,2,Red,Holzman,10,16,0,0,MI1
KUNDLJO01 ,1953,1,John,Kundla,46,26,9,4,MIE
LAPCHJO01 ,1953,1,Joe,Lapchick,44,28,0,4,NYK
GOTTLED01 ,1953,1,Eddie,Gottlieb,29,43,0,0,PH1
HARRILE01 ,1953,1,Les,Harrison,44,28,3,3,ROC
CERVIAL01 ,1953,1,Al,Cervi,42,30,9,4,SYR
AUERBRE01 ,1954,1,Red,Auerbach,36,36,3,4,BOS
ECKMACH01 ,1954,1,Charles,Eckman,43,29,6,5,FTW
HOLZMRE01 ,1954,1,Red,Holzman,26,46,0,0,MI1
KUNDLJO01 ,1954,1,John,Kundla,40,32,3,4,MIE
LAPCHJO01 ,1954,1,Joe,Lapchick,38,34,1,2,NYK
GOTTLED01 ,1954,1,Eddie,Gottlieb,33,39,0,0,PH1
HARRILE01 ,1954,1,Les,Harrison,29,43,1,2,ROC
CERVIAL01 ,1954,1,Al,Cervi,43,29,7,4,SYR
AUERBRE01 ,1955,1,Red,Auerbach,39,33,1,2,BOS
ECKMACH01 ,1955,1,Charles,Eckman,37,35,4,6,FTW
