team,year,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
ATL,1979,3261,7027,2038,2645,1369,2406,3775,1913,2293,782,1495,539,13,0,8573,3144,6872,2000,2616,1261,2339,3600,1758,2171,682,1660,554,46,0,8334,101.16614,50,32
BOS,1979,3617,7387,1907,2449,1227,2457,3684,2198,1974,809,1539,308,162,0,9303,3439,7313,1712,2222,1168,2294,3462,1867,2059,686,1635,419,74,0,8664,105.97337,61,21
CHI,1979,3362,6943,2019,2592,1115,2465,3580,2152,2146,704,1684,392,70,0,8813,3585,7222,1811,2358,1159,2345,3504,2109,2203,846,1543,498,54,0,9035,104.5335,30,52
CLE,1979,3811,8041,1702,2205,1307,2381,3688,2108,1934,764,1370,342,36,0,9360,3811,7610,1645,2150,1230,2638,3868,2208,2033,708,1667,490,65,0,9332,109.19448,37,45
DEN,1979,3462,7470,1871,2539,1311,2524,3835,2079,1917,746,1533,404,83,0,8878,3736,7591,1698,2235,1197,2587,3784,2289,2033,812,1438,455,70,0,9240,106.51925,30,52
DET,1979,3643,7596,1590,2149,1226,2415,3641,1950,2069,783,1742,562,57,0,8933,3847,7761,1858,2405,1319,2572,3891,2306,1871,874,1583,470,57,0,9609,109.63906,16,66
GSW,1979,3527,7318,1412,1914,1155,2437,3592,2028,2082,779,1492,339,27,0,8493,3438,6975,1905,2544,1056,2564,3620,2091,1785,720,1486,361,72,0,8853,102.8746,24,58
HOU,1979,3599,7496,1782,2326,1394,2217,3611,2149,1927,782,1565,373,104,0,9084,3658,7382,1696,2153,1290,2317,3607,2223,2049,778,1597,428,58,0,9070,104.71941,41,41
IND,1979,3639,7689,1753,2333,1398,2326,3724,2148,1973,900,1517,530,88,0,9119,3693,7545,1734,2295,1394,2552,3946,2323,2028,738,1758,470,56,0,9176,107.29745,37,45
KCK,1979,3582,7489,1671,2250,1187,2429,3616,2123,2135,863,1439,356,25,0,8860,3328,6992,1906,2497,1140,2644,3784,1778,2072,695,1762,425,41,0,8603,105.42605,47,35
LAL,1979,3898,7368,1622,2092,1085,2653,3738,2413,1784,774,1639,546,20,0,9438,3723,7921,1430,1884,1312,2242,3554,2324,1860,797,1420,382,78,0,8954,106.97785,60,22
MIL,1979,3685,7553,1605,2102,1245,2396,3641,2277,1937,778,1496,510,50,0,9025,3456,7487,1714,2275,1360,2293,3653,2154,1912,717,1638,358,76,0,8702,105.73549,49,33
NJN,1979,3456,7504,1882,2406,1229,2535,3764,2094,2181,869,1702,581,85,0,8879,3480,7427,1957,2572,1285,2596,3881,2189,2042,849,1692,514,58,0,8975,108.79631,34,48
NYK,1979,3802,7672,1698,2274,1236,2303,3539,2265,2168,881,1613,457,42,0,9344,3707,7492,1969,2556,1293,2432,3725,2143,2042,813,1694,390,56,0,9438,109.19448,39,43
PHI,1979,3523,7156,1876,2431,1187,2635,3822,2226,1860,792,1708,652,27,0,8949,3444,7561,1640,2145,1318,2352,3670,2089,2100,876,1561,388,75,0,8603,105.73283,59,23
PHO,1979,3570,7235,1906,2466,1071,2458,3529,2283,1853,908,1629,344,68,0,9114,3563,7480,1593,2119,1216,2447,3663,2026,2051,882,1663,389,100,0,8819,107.20123,55,27
POR,1979,3408,7167,1560,2100,1295,2408,3703,1898,1956,708,1552,472,26,0,8402,3349,7008,1716,2281,1138,2358,3496,2008,1880,756,1450,395,55,0,8469,100.75999,38,44
SAS,1979,3856,7738,2024,2528,1153,2515,3668,2326,2103,771,1589,333,52,0,9788,4000,7997,1731,2283,1248,2472,3720,2537,2192,828,1513,457,88,0,9819,112.12959,41,41
SDC,1979,3524,7494,1595,2167,1294,2308,3602,1688,1896,664,1443,288,177,0,8820,3752,7508,1613,2086,1222,2487,3709,2012,1889,764,1391,408,43,0,9160,103.90084,35,47
SEA,1979,3554,7565,1730,2253,1380,2550,3930,2043,1865,750,1496,428,59,0,8897,3408,7424,1640,2147,1203,2409,3612,2016,1997,728,1519,393,59,0,8515,104.90218,56,26
UTA,1979,3382,6817,1571,1943,967,2359,3326,2005,2006,656,1543,362,59,0,8394,3559,7182,1702,2205,1159,2288,3447,1997,1782,710,1274,398,67,0,8887,99.814026,24,58
WA1,1979,3574,7796,1552,2048,1334,2723,4057,2201,1893,530,1380,443,73,0,8773,3615,7771,1696,2184,1197,2672,3869,2120,1901,734,1222,519,56,0,8982,105.76692,39,43
ATL,1980,3291,6866,2012,2590,1201,2224,3425,1846,2276,749,1605,469,10,0,8604,3401,6867,2024,2641,1207,2318,3525,1935,2209,748,1685,555,32,0,8858,102.24073,31,51
BOS,1980,3581,7099,1781,2369,1155,2424,3579,2202,1990,683,1577,594,65,0,9008,3372,7296,1752,2277,1192,2174,3366,1890,2059,736,1473,351,30,0,8526,103.60421,62,20
CHI,1980,3457,6903,1985,2563,1227,2475,3702,1925,2058,729,1672,514,38,0,8937,3527,7209,1669,2211,1145,2096,3241,1950,2135,784,1502,441,52,0,8775,102.83253,45,37
CLE,1980,3556,7609,1486,1909,1258,2243,3501,2007,1995,632,1396,322,72,0,8670,3608,7174,1800,2395,1158,2499,3657,2166,1956,681,1474,454,52,0,9068,103.53483,28,54
DAL,1980,3204,6928,1868,2487,1109,2177,3286,1984,2008,561,1439,214,46,0,8322,3622,7060,1731,2297,1173,2498,3671,2098,2187,713,1433,480,36,0,9011,100.82841,15,67
DEN,1980,3784,7960,2388,3051,1325,2497,3822,2030,2108,720,1444,380,30,0,9986,4059,8017,1863,2507,1320,2680,4000,2529,2387,704,1555,547,44,0,10025,113.48146,37,45
DET,1980,3236,6986,1689,2330,1201,2111,3312,1819,2125,884,1759,492,13,0,8174,3499,6869,1663,2217,1090,2396,3486,2033,2095,793,1797,585,31,0,8692,103.4739,21,61
GSW,1980,3560,7284,1826,2513,1403,2366,3769,2026,2158,611,1547,301,60,0,9006,3631,7204,1804,2411,1137,2210,3347,2223,2093,714,1385,386,37,0,9103,103.02594,39,43
HOU,1980,3573,7335,1711,2223,1216,2347,3563,2099,1901,705,1451,390,21,0,8878,3617,7341,1568,2108,1177,2367,3544,2191,1977,689,1430,367,49,0,8851,103.16543,40,42
IND,1980,3491,7245,1815,2540,1325,2267,3592,2091,2006,833,1491,484,30,0,8827,3457,7071,1757,2290,1246,2407,3653,2113,2064,695,1655,439,41,0,8712,102.84245,44,38
KCK,1980,3572,7151,1576,2206,1037,2450,3487,2271,2092,719,1448,385,49,0,8769,3424,7117,1889,2500,1138,2510,3648,1857,2015,717,1520,383,31,0,8768,103.54015,40,42
LAL,1980,3780,7382,1540,2113,1165,2491,3656,2363,1955,808,1557,551,17,0,9117,3581,7701,1598,2158,1378,2274,3652,2280,1869,754,1473,357,42,0,8802,105.45966,54,28
MIL,1980,3722,7472,1802,2340,1261,2408,3669,2319,2198,862,1581,530,30,0,9276,3311,7220,2023,2701,1265,2209,3474,2033,2050,735,1670,400,35,0,8680,106.58259,60,22
NJN,1980,3477,7314,1780,2371,1092,2374,3466,2068,2204,750,1664,458,34,0,8768,3612,7159,2010,2663,1059,2499,3558,2144,2092,815,1637,502,28,0,9262,107.809,24,58
NYK,1980,3505,7255,1783,2386,1137,2205,3342,1976,1917,861,1461,314,56,0,8849,3555,7092,1563,2082,1147,2457,3604,2088,1994,689,1660,452,43,0,8716,103.65063,50,32
PHI,1980,3636,7073,1865,2427,1091,2618,3709,2369,2061,857,1702,591,19,0,9156,3307,7337,1850,2487,1286,2287,3573,2033,2044,818,1642,379,48,0,8512,106.00311,62,20
PHO,1980,3587,7326,1810,2430,1234,2490,3724,2205,1996,876,1733,416,35,0,9019,3368,7221,1762,2383,1160,2284,3444,1970,2116,912,1752,401,69,0,8567,107.31196,57,25
POR,1980,3741,7535,1573,2191,1243,2388,3631,2244,2034,769,1518,480,25,0,9080,3584,7351,1805,2377,1249,2419,3668,2109,1932,802,1575,422,34,0,9007,105.74782,45,37
SAS,1980,3571,7276,2052,2668,1304,2582,3886,2048,2114,685,1533,643,15,0,9209,3581,7582,1766,2387,1214,2177,3391,2206,2198,700,1422,481,45,0,8973,105.88248,52,30
SDC,1980,3477,7283,1651,2246,1169,2144,3313,2098,2078,764,1407,292,132,0,8737,3508,6951,1818,2433,1091,2377,3468,2097,2006,683,1553,392,33,0,8867,102.70078,36,46
SEA,1980,3343,7145,1813,2376,1167,2434,3601,1945,1986,628,1524,438,32,0,8531,3453,7421,1718,2323,1247,2357,3604,2044,2044,747,1348,387,42,0,8666,103.2979,34,48
UTA,1980,3332,6825,1595,2080,962,2325,3287,1948,2110,637,1423,386,42,0,8301,3430,7018,1879,2472,1154,2440,3594,1985,1855,596,1303,406,45,0,8784,99.455986,28,54
WA1,1980,3549,7517,1499,2072,1155,2533,3688,2151,1895,641,1422,392,65,0,8662,3518,7491,1588,2161,1204,2638,3842,2060,1888,739,1410,469,37,0,8661,104.8207,39,43
ATL,1981,3210,6776,1833,2387,1135,2368,3503,1815,2268,608,1343,485,28,0,8281,3150,6709,1891,2482,1135,2388,3523,1871,2179,578,1444,434,46,0,8237,97.573227,42,40
BOS,1981,3657,7334,1817,2457,1253,2489,3742,2126,2014,652,1452,568,49,0,9180,3490,7429,1638,2172,1193,2247,3440,1972,2240,681,1432,367,39,0,8657,104.18151,63,19
CHI,1981,3369,6728,1951,2545,1125,2525,3650,2043,2008,580,1636,483,54,0,8743,3659,7388,1533,2053,1134,2225,3359,2043,2220,807,1257,469,58,0,8909,101.37332,34,48
CLE,1981,3405,7334,1628,2179,1190,2170,3360,1871,2193,634,1319,357,25,0,8463,3608,7044,1906,2529,1125,2529,3654,2169,2071,655,1405,480,39,0,9161,101.88947,15,67
DAL,1981,3390,7224,1740,2366,1213,2228,3441,2117,2193,566,1317,313,55,0,8575,3530,6953,1847,2491,1108,2361,3469,1984,2243,643,1370,509,31,0,8938,100.811,28,54
