draft_year,draft_round,selection,team,firstname,lastname,ilkid,draft_from,leag
1947,0,0,ba1,Larry,Killick,,Vermont,N
1947,0,0,ba1,Bob,Jake,,Vermont,N
1947,0,0,ba1,John,Rusinko,,Penn State,N
1947,0,0,ba1,Harry,Gallatin,GallaHa01,NE Missouri State Teachers College,N
1947,0,0,ba1,Charles,Raynor,,Houston,N
1947,0,0,ba1,Elmer,Gainer,GaineEl01,DePaul,N
1947,0,0,ba1,Scotty,Hamilton,,West Virginia,N
1947,0,0,ba1,Hugh,Hampton,,High Point,N
1947,0,0,ba1,Chick,Reiser,,New York University,N
1947,0,0,ba1,Robert,Bolyard,,Toledo,N
1947,0,0,bos,Ed,Ehlers,EhlerEd01,Purdue,N
1947,0,0,bos,Hank,Biasetti,BiaseHa01,Long Island,N
1947,0,0,bos,Gene,Stump,StumpGe01,DePaul,N
1947,0,0,bos,George,Felt,,Northwestern,N
1947,0,0,bos,Bob,Alemeida,, ,N
1947,0,0,bos,George,Petrovick,, ,N
1947,0,0,bos,John,Ezersky,EzersJo01,Rhode Island State,N
1947,0,0,bos,Jack,Hewson,HewsoJa01,Temple,N
1947,0,0,bos,John,Kelly,,Notre Dame,N
1947,0,0,CH1,Paul,Huston,HustoPa01,Ohio State,N
1947,0,0,CH1,Ben,Schadler,SchadBe01,Northwestern,N
1947,0,0,CH1,Hank,Decker,,West Texas State,N
1947,0,0,CH1,Gene,Vance,VanceGe01,Illinois,N
1947,0,0,CH1,Andy,Phillip,PhillAn01,Illinois,N
1947,0,0,CH1,Ralph,Bishop,,Washington,N
1947,0,0,CH1,Jim,Darden,DardeJi01,Denver,N
1947,0,0,CH1,Jim,Pollard,PollaJi01,Stanford,N
1947,0,0,CH1,Don,Smith,SmithDo03,Minnesota,N
1947,0,0,CH1,Jack,Stone,,Kansas State,N
1947,0,0,nyk,Dick,Holub,HolubDi01,Long Island,N
1947,0,0,nyk,Tom,Tomlinson,,Southern Methodist,N
1947,0,0,nyk,Garland,Head,,Texas Tech,N
1947,0,0,nyk,Carl,Reichert,,Findlay,N
1947,0,0,nyk,Ray,Evans,,Kansas,N
1947,0,0,nyk,Andy,Duncan,DuncaAn01,William & Mary,N
1947,0,0,nyk,Ed,Golub,,Norfolk Naval Training Center,N
1947,0,0,nyk,Ron,Livingston,,St. Mary's (CA),N
1947,0,0,nyk,Dan,Miller,,St. Louis,N
1947,0,0,nyk,Wat,Misaka,MisakWa01,Utah,N
1947,0,0,phi,Frank,Crossin,CrossFr01,Pennsylvania,N
1947,0,0,phi,Ed,Koffenberger,,Duke,N
1947,0,0,phi,Norman,Butz,,St. Joseph's (PA),N
1947,0,0,phi,Jim,Kaeding,,York,N
1947,0,0,phi,Jim,Pollard,PollaJi01,Stanford,N
1947,0,0,pit,Clifton,McNeeley,,Texas Western,N
1947,0,0,pit,Bob,Alamo,,Santa Clara,N
1947,0,0,pit,Herman,Knoche,KnochHe01,Washington & Jefferson,N
1947,0,0,pit,Dick,Ives,,Iowa,N
1947,0,0,pit,Jack,Walton,,DePauw,N
1947,0,0,pit,Fred,Nagy,NagyFr01 ,Akron,N
1947,0,0,pit,George,Brown,, ,N
1947,0,0,pro,Walt,Dropo,,Connecticut,N
1947,0,0,pro,Roy,Lipscomb,,St. Mary's,N
1947,0,0,pro,John,Mills,MillsJo01,Hofstra,N
1947,0,0,pro,Al,Nichols,,Rhode Island State,N
1947,0,0,pro,Dick,Furey,,St. Thomas (MN),N
1947,0,0,pro,Robert,Hubbard,,Springfield College,N
1947,0,0,pro,Joe,Barry,, ,N
1947,0,0,pro,Bob,Joyce,,Bates,N
1947,0,0,ST1,Jack,Underman,,Ohio State,N
1947,0,0,ST1,Herb,Wilkinson,,Iowa,N
1947,0,0,ST1,Jack,Knopf,,Louisville,N
1947,0,0,ST1,Bob,Kurland,,Oklahoma A&M,N
1947,0,0,ST1,Paul,Napolitano,NapolPa01,San Francisco,N
1947,0,0,ST1,Jim,Pollard,PollaJi01,Stanford,N
1947,0,0,ST1,Bill,Strannigan,,Colorado/Wyoming,N
1947,0,0,TO1,Glen,Selbo,SelboGl01,Wisconsin,N
1947,0,0,TO1,Red,Rocha,RochaRe01,Oregon State,N
1947,0,0,TO1,Frank,Broyles,,Georgia Tech,N
1947,0,0,TO1,Wimpy,Quinn,,Oregon,N
1947,0,0,TO1,Paul,Hoffman,HoffmPa01,Purdue,N
1947,0,0,WSC,Dick,O'Keefe,OKeeDi01 ,Santa Clara,N
1947,0,0,WSC,Jack,Tingle,TinglJa01,Kentucky,N
1947,0,0,WSC,Bill,Burke,,St. Mary's,N
1947,0,0,WSC,Abel,Rodriguez,,San Francisco,N
1947,0,0,WSC,Paul,Cloyd,,Wisconsin,N
1947,0,0,WSC,Mat,Zunic,ZunicMa01,George Washington,N
1947,0,0,WSC,John,Mandic,MandiJo01,Oregon State,N
1947,0,0,WSC,Irwin,Rothenberg,RotheIr01,Long Island,N
1947,0,0,WSC,Saul,Mariaschin,MariaSa01,Harvard,N
1948,0,0,ba1,Jim,Black,,Occidental,N
1948,0,0,ba1,Darrell,Brown,BrownDa01,Humboldt State,N
1948,0,0,ba1,Walter,Budko,BudkoWa01,Columbia,N
1948,0,0,ba1,Robert,Carroll,,West Virginia,N
1948,0,0,ba1,Jake,Carter,CarteJa01,East Texas State,N
1948,0,0,ba1,Marvin,English,,Newberry,N
1948,0,0,ba1,Gene,Fellmoth,,Whittenberg,N
1948,0,0,ba1,JW,Fullerton,,Arkansas State,N
1948,0,0,ba1,Marshall,Gemberling,,Lebanon Valley,N
1948,0,0,ba1,Vince,Hansen,,Washington State,N
1948,0,0,ba1,Joe,Holland,HollaJo01,Kentucky,N
1948,0,0,ba1,Dan,Kraus,KrausDa01,Georgetown,N
1948,0,0,ba1,Wayne,Jones,,American International,N
1948,0,0,ba1,Herbert,Krautblatt,KrautHe01,Rider,N
1948,0,0,ba1,Paul,Marcincin,,Moravian,N
1948,0,0,Bos,John,Bach,BachJo01 ,Fordham,N
1948,0,0,Bos,Norman,Carey,,Oregon State,N
1948,0,0,Bos,Bob,Curran,,Holy Cross,N
1948,0,0,Bos,Neil,Dooley,,Colgate,N
1948,0,0,Bos,George,Hauptfuhrer,,Harvard,N
1948,0,0,Bos,Jack,Hauser,,Denver,N
1948,0,0,Bos,Marshall,Hawkins,HawkiMa01,Tennessee,N
1948,0,0,Bos,Tom,Kelly,KellyTo01,New York University,N
1948,0,0,Bos,Murray,Mitchell,MitchMu01,Sam Houston State,N
1948,0,0,Bos,Guinn,Phillips,,Texas Wesleyan,N
1948,0,0,Bos,Ray,Wehde,,Iowa State,N
1948,0,0,CH1,John,Dillon,DilloJo01,North Carolina,N
1948,0,0,CH1,Ed,Kachan,KachaEd01,DePaul,N
1948,0,0,CH1,Mickey,Marty,,Loras,N
1948,0,0,CH1,Ed,Mikan,MikanEd01,DePaul,N
1948,0,0,CH1,Ed,Mills,,Wisconsin,N
1948,0,0,CH1,Don,Reagan,,Murray State,N
1948,0,0,CH1,Joe,Shafer,,Wheaton,N
1948,0,0,CH1,Odie,Spears,SpearOd01,Western Kentucky,N
1948,0,0,CH1,Fred,Weber,,Siena,N
1948,0,0,ftw,Bobby,Cook,CookBo01 ,Wisconsin,N
1948,0,0,ftw,Link,Richmond,,Arizona,N
1948,0,0,ftw,Ken,Rollins,RolliKe01,Kentucky,N
1948,0,0,ftw,Murray,Wier,wiermu01 ,Iowa,N
1948,0,0,ftw,Ward,Williams,WilliWa02,Indiana,N
1948,0,0,INJ,Reede,Berg,,Oregon,N
