ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
AbdulKa01 ,1978,Karem,Abdul-Jabbar,west,N,1,28,11,,,8,3,,,,,12,5,2,1,,
AbdulKa01 ,1969,Karem,Abdul-Jabbar,east,N,1,18,10,,,11,4,,,,,8,4,2,2,,
AbdulKa01 ,1988,Kareem,Abdul-Jabbar,west,N,1,13,4,,,3,0,,,,,6,1,2,2,,
AbdulKa01 ,1987,Kareem,Abdul-Jabbar,west,N,1,14,10,,,4,0,,,,,9,4,2,2,,
AbdulKa01 ,1986,Kareem,Abdul-Jabbar,west,N,1,27,10,,,8,3,,,,,9,4,2,2,,
AbdulKa01 ,1985,Kareem,Abdul-Jabbar,west,N,1,32,21,,,7,2,,,,,15,9,4,3,,
AbdulKa01 ,1984,Kareem,Abdul-Jabbar,west,N,1,23,11,,,6,1,,,,,10,5,2,1,,
AbdulKa01 ,1983,Kareem,Abdul-Jabbar,west,N,1,37,25,,,13,2,,,,,19,11,4,3,,
AbdulKa01 ,1982,Kareem,Abdul-Jabbar,west,N,1,32,20,,,6,5,,,,,12,9,3,2,,
AbdulKa01 ,1981,Kareem,Abdul-Jabbar,west,N,1,23,15,,,6,4,,,,,9,6,3,3,,
AbdulKa01 ,1980,Kareem,Abdul-Jabbar,west,N,1,23,15,,,6,4,,,,,9,6,3,3,,
AbdulKa01 ,1979,Kareem,Abdul-Jabbar,west,N,1,30,17,,,16,9,,,,,17,6,6,5,,
AbdulKa01 ,1976,Kareem,Abdul-Jabbar,west,N,1,23,21,,,4,2,,,,,14,8,6,5,,
AbdulKa01 ,1975,Kareem,Abdul-Jabbar,west,N,1,36,22,,,5,3,,,,,16,9,4,4,,
AbdulKa01 ,1974,Kareem,Abdul-Jabbar,west,N,1,19,7,,,10,3,,,,,10,3,2,1,,
AbdulKa01 ,1973,Kareem,Abdul-Jabbar,west,N,1,23,14,,,8,6,,,,,11,7,0,0,,
AbdulKa01 ,1972,Kareem,Abdul-Jabbar,west,N,1,98,,,,,,,,,,,,,,,
AbdulKa01 ,1971,Kareem,Abdul-Jabbar,west,N,1,19,12,,,7,2,,,,,10,5,2,2,,
AbdulKa01 ,1970,Kareem-Abdul,Jabbar,west,N,1,30,19,,,14,1,,,,,16,8,4,3,,
ABDURSH01 ,2001,Shareef,A-Rahim,east,N,1,21,9,5,1,6,0,0,0,0,2,4,4,0,0,1,1
AdamsAl01 ,1975,Alvan,Adams,west,N,1,11,4,,,3,0,,,,,4,2,0,0,,
AdamsMi01 ,1991,Michael,Adams,east,N,1,14,9,,,1,1,,,,,8,4,0,0,,
AguirMa01 ,1987,Mark,Aguirre,west,N,1,12,14,,,1,1,,,,,10,5,3,3,,
AguirMa01 ,1986,Mark,Aguirre,west,N,1,17,9,,,2,1,,,,,6,3,3,2,,
AguirMa01 ,1983,Mark,Aguirre,west,N,1,13,13,,,1,2,,,,,8,5,4,3,,
AingeDa01 ,1987,Danny,Ainge,east,N,1,19,12,,,3,2,,,,,11,4,2,1,,
AllenRa02 ,2001,Ray,Allen,east,N,1,25,15,2,1,3,5,3,0,1,3,17,6,0,0,10,3
AllenRa02 ,2000,Ray,Allen,east,N,1,19,15,2,1,3,2,1,1,1,0,15,7,0,0,7,1
AllenRa02 ,1999,Ray,Allen,east,N,1,17,14,0,1,1,2,3,1,3,2,13,4,6,5,6,1
AllenRa02 ,2003,Ray,Allen,west,N,1,23,16,1,2,3,4,1,0,3,2,13,6,4,3,4,1
AnderKe02 ,1993,Kenny,Anderson,east,N,1,16,6,,,4,3,,,,,10,3,0,0,,
ArchiNa01 ,1981,Nate,Archibald,east,N,1,25,9,,,5,9,,,,,7,4,3,1,,
ArchiNa01 ,1980,Nate,Archibald,east,N,1,25,9,,,5,9,,,,,7,4,3,1,,
ArchiNa01 ,1979,Nate,Archibald,east,N,1,21,2,,,3,6,,,,,8,0,3,2,,
ArchiNa01 ,1975,Nate,Archibald,west,N,1,30,13,,,15,7,,,,,13,5,3,3,,
ArchiNa01 ,1974,Nate,Archibald,west,N,1,36,27,,,2,6,,,,,15,10,8,7,,
ArchiNa01 ,1972,Nate,Archibald,west,N,1,27,17,,,1,5,,,,,12,6,5,5,,
AriziPa01 ,1950,Paul,Arizin,east,N,1,0,15,,,7,0,,,,,12,7,2,1,,
AriziPa01 ,1961,Paul,Arizin,east,N,1,21,4,,,2,0,,,,,12,2,0,0,,
AriziPa01 ,1960,Paul,Arizin,east,N,1,17,17,,,2,1,,,,,12,6,6,5,,
AriziPa01 ,1959,Paul,Arizin,east,N,1,99,,,,,,,,,,,,,,,
AriziPa01 ,1958,Paul,Arizin,east,N,1,30,16,,,8,0,,,,,15,4,9,8,,
AriziPa01 ,1957,Paul,Arizin,east,N,1,29,24,,,8,2,,,,,17,11,2,2,,
AriziPa01 ,1956,Paul,Arizin,east,N,1,26,13,,,5,0,,,,,13,6,2,1,,
AriziPa01 ,1955,Paul,Arizin,east,N,1,28,13,,,7,1,,,,,13,5,5,3,,
AriziPa01 ,1954,Paul,Arizin,east,N,1,23,9,,,2,2,,,,,9,4,2,1,,
AriziPa01 ,1951,Paul,Arizin,east,N,1,32,26,,,6,0,,,,,13,9,8,8,,
ArmstBJ01 ,1993,B.J.,Armstrong,east,N,1,22,11,,,1,4,,,,,9,5,0,0,,
ArtesRo01 ,2003,Ron,Artest,east,N,1,17,7,2,1,3,3,1,0,1,2,5,3,2,1,1,0
BakerVi01 ,1996,Vin,Baker,east,N,1,24,19,5,7,12,1,0,0,0,2,12,8,4,3,0,0
BakerVi01 ,1995,Vin,Baker,east,N,1,14,6,,,2,2,,,,,5,2,2,2,,
BakerVi01 ,1994,Vin,Baker,east,N,1,11,2,,,2,0,,,,,2,0,4,2,,
BakerVi01 ,1997,Vin,Baker,west,N,1,21,8,2,6,8,0,1,0,0,1,12,3,2,2,0,0
