ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ARMSTPA01 ,1949,Paul,Armstrong,FTW,N,3,0,9,0,0,0,6,0,0,0,6,22,4,4,1,0,0
BARKECL01 ,1949,Cliff,Barker,INI,N,6,0,34,0,0,0,13,0,0,0,10,31,12,15,10,0,0
BARNHLE01 ,1949,Leo,Barnhorst,CH1,N,2,0,22,0,0,0,4,0,0,0,10,25,8,6,6,0,0
BEARDRA01 ,1949,Ralph,Beard,INI,N,5,0,66,0,0,0,22,0,0,0,11,70,22,28,22,0,0
BLACKCH01 ,1949,Charlie,Black,AND,N,8,0,57,0,0,0,17,0,0,0,38,61,18,29,21,0,0
BOBBNE01  ,1949,Nelson,Bobb,PH1,N,2,0,2,0,0,0,1,0,0,0,3,3,1,0,0,0,0
BORNHJA01 ,1949,Jake,Bornheimer,PH1,N,2,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0
BORYLVI01 ,1949,Vince,Boryla,NYK,N,5,0,75,0,0,0,7,0,0,0,25,52,23,32,29,0,0
BRANNBO01 ,1949,Bob,Brannum,SHE,N,3,0,43,0,0,0,11,0,0,0,16,43,15,20,13,0,0
BRAUNCA01 ,1949,Carl,Braun,NYK,N,5,0,85,0,0,0,19,0,0,0,21,68,28,38,29,0,0
BRIANFR01 ,1949,Frank,Brian,AND,N,8,0,95,0,0,0,19,0,0,0,24,96,26,48,43,0,0
BURMAJA01 ,1949,Jack,Burmaster,SHE,N,3,0,36,0,0,0,8,0,0,0,7,31,16,4,4,0,0
CARPEBO01 ,1949,Bob,Carpenter,FTW,N,4,0,32,0,0,0,2,0,0,0,6,30,11,14,10,0,0
CARTEJA01 ,1949,Jake,Carter,AND,N,8,0,10,0,0,0,3,0,0,0,12,21,3,6,4,0,0
CERVIAL01 ,1949,Al,Cervi,SYR,N,11,0,84,0,0,0,52,0,0,0,36,68,23,46,38,0,0
CHOLLLE01 ,1949,Leroy,Chollet,SYR,N,8,0,19,0,0,0,4,0,0,0,11,26,7,13,5,0,0
CLOSSBI01 ,1949,Bill,Closs,AND,N,8,0,91,0,0,0,14,0,0,0,27,109,33,30,25,0,0
COLEMJA01 ,1949,Jack,Coleman,ROC,N,2,0,15,0,0,0,4,0,0,0,8,20,7,1,1,0,0
COOKBO01  ,1949,Bobby,Cook,SHE,N,3,0,9,0,0,0,6,0,0,0,3,10,3,6,3,0,0
CORLERA01 ,1949,Ray,Corley,SYR,N,6,0,17,0,0,0,10,0,0,0,5,36,6,11,5,0,0
