ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDELAL01 ,Alaa,Abdelnaby,N,17,106,38,17,3,20,3,0,1,11,11,40,18,4,2,0,0
ABDULKA01 ,Kareem,Abdul-jabbar,N,237,8851,5762,833,355,2481,767,150,399,404,787,4422,2356,1419,1050,4,0
ABDULMA01 ,Mahmo,Abdul-rauf,N,15,415,195,18,5,23,35,7,1,22,37,187,69,45,43,49,14
ABDULTA01 ,Tariq,Abdul-wahad,N,13,178,68,24,17,41,11,4,4,4,14,63,24,24,20,3,0
ABERNTO01 ,Tom,Abernethy,N,13,226,68,0,0,42,23,0,0,0,18,54,22,29,24,0,0
ACRESMA01 ,Mark,Acres,N,19,160,37,23,14,37,2,1,1,6,33,27,14,18,9,2,0
ADAMSAL01 ,Alvan,Adams,N,78,2288,1076,209,82,588,320,64,51,109,251,930,440,256,196,0,0
ADAMSDO01 ,Don,Adams,A,10,301,90,0,0,47,46,0,0,0,32,82,35,28,20,0,0
ADAMSDO01 ,Don,Adams,N,22,566,156,0,0,116,45,0,0,0,74,165,63,44,30,0,0
ADAMSGE01 ,George,Adams,A,9,184,80,0,0,34,15,0,0,0,14,66,34,16,12,0,0
ADAMSMI01 ,Michael,Adams,N,20,679,256,53,14,67,103,32,2,44,41,230,85,60,51,107,35
ADDISRA01 ,Rafael,Addison,N,6,62,22,3,3,6,6,3,0,3,3,28,9,3,3,2,1
ADELMRI01 ,Rick,Adelman,N,21,329,121,0,0,27,39,0,0,0,32,96,43,56,35,0,0
AGUIRMA01 ,Mark,Aguirre,N,102,2958,1747,356,181,537,265,71,22,198,281,1435,696,417,310,142,45
AINGEDA01 ,Danny,Ainge,N,193,5038,1902,323,120,443,656,172,19,257,533,1571,717,357,296,432,172
AITCHMA01 ,Matt,Aitch,A,2,4,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0
AKINHE01  ,Henry,Akin,N,2,16,3,0,0,8,0,0,0,0,3,7,1,2,1,0,0
ALARIMA01 ,Mark,Alarie,N,4,45,23,6,0,6,1,2,2,4,9,17,10,2,2,2,1
ALEXACO01 ,Cory,Alexander,N,9,70,26,5,4,9,9,2,0,6,8,24,10,7,5,5,1
ALEXACO02 ,Courtney,Alexander,N,5,39,18,2,2,4,1,2,0,1,6,16,7,4,3,1,1
ALEXAVI01 ,Victor,Alexander,N,5,27,7,6,1,7,1,2,0,2,8,6,3,1,1,0,0
ALFORST01 ,Steve,Alford,N,13,106,54,5,4,9,15,3,0,5,11,48,20,9,8,17,6
ALLENBO01 ,Bob,Allen,N,3,19,4,0,0,6,0,0,0,0,2,4,0,7,4,0,0
ALLENLU01 ,Lucius,Allen,N,43,1160,506,0,0,133,142,2,1,0,100,450,202,135,102,0,0
ALLENMA01 ,Malik,Allen,N,10,138,50,18,12,30,4,2,9,4,21,49,22,9,6,0,0
ALLENRA02 ,Ray,Allen,N,37,1510,920,127,49,176,177,49,15,97,85,683,325,184,163,246,107
ALLENTO01 ,Tony,Allen,N,7,90,19,8,4,12,2,3,2,5,17,18,8,7,3,0,0
ALSTORA01 ,Rafer,Alston,N,22,319,91,25,4,29,24,6,1,13,22,95,29,27,21,53,12
AMAECJO01 ,John,Amaechi,N,7,47,13,3,1,4,3,3,2,0,6,13,4,8,5,0,0
ANDERAN01 ,Andy,Anderson,A,28,551,224,0,0,60,16,0,0,0,21,215,85,66,54,0,0
ANDERCA01 ,Cadillac,Anderson,N,17,273,77,54,15,69,5,7,12,19,44,65,31,31,15,0,0
ANDERCH01 ,Chris,Andersen,N,5,34,6,8,6,14,2,1,2,2,3,9,3,0,0,0,0
ANDERCL01 ,Cliff,Anderson,N,3,10,4,0,0,1,0,0,0,0,1,5,2,0,0,0,0
ANDERDA01 ,Danw,Anderson,A,5,38,15,0,0,10,5,0,0,0,8,13,6,4,3,0,0
ANDERDE01 ,Derek,Anderson,N,16,395,143,29,7,36,35,10,1,34,22,117,40,66,55,29,8
ANDERER01 ,Eric,Anderson,N,2,6,2,1,0,1,0,0,0,1,2,2,1,0,0,0,0
ANDERJE01 ,Jerome,Anderson,N,4,5,2,0,0,1,1,0,0,0,1,3,1,0,0,0,0
ANDERKE02 ,Kenny,Anderson,N,36,1004,346,67,18,85,135,42,1,58,89,325,132,93,74,29,8
ANDERNI01 ,Nick,Anderson,N,49,1766,644,185,53,238,110,72,29,76,108,549,227,149,101,267,89
ANDERRI01 ,Richard,Anderson,N,15,140,58,16,7,23,10,2,3,4,20,48,20,12,10,21,8
ANDERRO01 ,Ron,Anderson,N,27,621,266,55,25,80,46,11,2,29,58,239,106,54,50,11,4
ANDERSH01 ,Shandon,Anderson,N,61,1185,346,118,62,180,64,31,6,71,121,285,129,103,72,45,16
ANDERWI01 ,Willie,Anderson,N,52,1140,483,108,34,142,127,42,12,81,128,427,198,93,73,42,14
ANTHOCA01 ,Carmelo,Anthony,N,9,323,156,39,21,60,21,8,1,30,31,147,56,52,42,12,2
ANTHOGR01 ,Greg,Anthony,N,102,1597,455,96,28,124,234,82,18,94,207,425,154,140,90,194,57
ARCHINA01 ,Nate,Archibald,N,47,1642,667,62,15,77,306,34,2,122,118,556,235,236,195,17,2
ARDJI01   ,Jim,Ard,A,19,215,78,0,0,57,7,0,0,0,34,61,30,32,18,0,0
ARDJI01   ,Jim,Ard,N,21,124,39,0,0,28,9,0,0,0,34,37,14,14,11,0,0
ARENAGI01 ,Gilbert,Arenas,N,10,450,236,44,8,52,62,21,6,39,34,194,73,94,72,77,18
ARIZIPA01 ,Paul,Arizin,N,49,1815,1186,0,0,404,128,0,0,0,177,1001,411,439,364,0,0
ARMSTBJ01 ,B.j.,Armstrong,N,105,2364,828,127,24,151,252,82,3,79,171,667,314,179,149,113,51
ARMSTBR01 ,Brandon,Armstrong,N,8,32,6,1,1,2,3,1,0,0,4,12,3,0,0,1,0
ARMSTDA01 ,Darrell,Armstrong,N,40,1072,338,77,33,110,125,45,5,82,87,269,110,88,79,129,39
ARMSTPA01 ,Paul,Armstrong,N,6,0,24,0,0,7,11,0,0,0,14,41,11,5,2,0,0
ARNETJA01 ,Jay,Arnette,N,9,81,29,0,0,10,10,0,0,0,22,32,11,8,7,0,0
ARNZEBO01 ,Bob,Arnzen,A,7,13,7,0,0,0,0,0,0,0,1,6,3,1,1,0,0
ARROYCA01 ,Carlos,Arroyo,N,22,177,49,9,3,12,44,4,2,10,21,54,19,16,11,1,0
ARTESRO01 ,Ron,Artest,N,26,1004,449,122,41,163,77,49,25,62,89,403,155,138,102,110,37
ASKEWVI01 ,Vincent,Askew,N,50,707,216,60,36,96,59,21,9,42,95,191,76,79,54,29,10
ASKINKE01 ,Keith,Askins,N,27,333,61,35,22,57,13,9,3,11,56,57,21,9,7,31,12
ATKINCH01 ,Chucky,Atkins,N,31,740,270,48,10,58,75,26,1,42,66,248,92,62,51,98,35
ATTLEAL01 ,Alvin,Attles,N,62,1504,395,0,0,245,206,0,0,0,246,382,154,158,87,0,0
AUGMOST01 ,Stacey,Augmon,N,77,1471,462,126,53,179,101,56,14,73,141,370,162,177,138,3,0
AUSTIIS01 ,Isaac,Austin,N,20,402,126,60,23,83,14,10,11,30,50,106,46,43,33,6,1
AVENTAN01 ,Anthony,Avent,N,9,80,28,7,12,19,1,0,1,3,13,20,9,12,10,1,0
AVERIWI01 ,William,Averitt,A,30,727,387,0,0,55,93,0,0,0,74,403,155,92,77,0,0
AVERYWI01 ,William,Avery,N,2,12,7,1,0,1,2,0,1,0,0,6,3,0,0,2,1
AWTREDE01 ,Dennis,Awtrey,N,42,747,177,0,0,188,63,6,4,0,106,132,70,61,37,0,0
BAECHJI01 ,Jim,Baechtold,N,9,307,121,0,0,32,36,0,0,0,41,104,45,39,31,0,0
BAGLEJO01 ,John,Bagley,N,19,546,181,35,12,47,142,23,2,61,33,166,72,51,36,8,1
