ilkid,firstname,lastname,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDELAL01,Alaa,Abdelnaby,N,256,3200,1465,283,563,846,85,71,69,247,484,1236,620,321,225,3,0
ABDULKA01,Kareem,Abdul-jabbar,N,1560,57446,38387,2975,9394,17440,5660,1160,3189,2527,4657,28307,15837,9304,6712,18,1
ABDULMA01,Mahmo,Abdul-rauf,N,586,15633,8553,219,868,1087,2079,487,46,963,1107,7943,3514,1161,1051,1339,474
ABDULTA01,Tariq,Abdul-wahad,N,236,4808,1830,275,501,776,266,184,82,309,485,1726,720,529,372,76,18
ABDURSH01,Shareef,Abdur-rahim,N,672,24862,13338,1498,3976,5474,1847,718,556,1911,1845,10215,4789,4427,3614,477,146
ABERNTO01,Tom,Abernethy,N,319,5434,1779,374,637,1011,384,185,60,129,525,1472,724,443,331,2,0
ABLEFO01,Forest,Able,N,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0
ABRAMJO01,John,Abramovic,N,56,0,533,0,0,0,37,0,0,0,171,855,203,185,127,0,0
ACKERDO01,Donald,Ackerman,N,28,220,43,0,0,15,23,0,0,0,43,63,14,28,15,0,0
ACRESMA01,Mark,Acres,N,375,5982,1343,581,944,1525,180,137,104,235,932,1016,514,463,308,13,7
ACTONCH01,Charles,Acton,N,23,195,77,0,0,47,11,0,0,0,35,74,29,29,19,0,0
ADAMSAL01,Alvan,Adams,N,988,27203,13910,2015,4922,6937,4012,1289,808,2194,3214,11464,5709,3160,2490,15,2
ADAMSDO01,Don,Adams,N,523,13474,4598,364,1028,2916,1011,334,64,79,1709,4535,1823,1285,952,3,0
ADAMSGE01,George,Adams,A,215,3903,1652,0,668,873,317,88,59,292,372,1440,716,272,216,17,4
ADAMSMI01,Michael,Adams,N,653,20446,9621,416,1484,1900,4209,1081,67,1402,1193,7849,3257,2543,2158,2857,949
ADDISRA01,Rafael,Addison,N,379,5697,2186,262,515,777,339,148,83,284,671,2047,920,359,277,245,69
ADELMRI01,Rick,Adelman,N,462,10427,3579,41,123,1129,1606,106,9,0,990,3330,1381,1146,817,0,0
AGUIRMA01,Mark,Aguirre,N,923,27730,18458,1704,2874,4578,2871,687,296,2306,2599,14865,7201,4944,3664,1258,392
AINGEDA01,Danny,Ainge,N,1042,27755,11964,695,2073,2768,4199,1133,132,1566,2549,9905,4643,1980,1676,2651,1002
AITCHMA01,Matt,Aitch,A,45,637,252,0,0,160,18,0,0,37,69,247,100,77,52,2,0
AKINHE01,Henry,Akin,A,2,25,4,0,0,4,1,0,0,4,0,4,1,3,2,2,0
AKINHE01,Henry,Akin,N,86,712,304,0,0,177,39,0,0,0,130,367,129,68,46,0,0
ALARIMA01,Mark,Alarie,N,325,5500,2432,438,682,1120,363,132,109,309,712,2184,1037,418,324,135,34
ALCORGA01,Gary,Alcorn,N,78,844,261,0,0,329,24,0,0,0,170,352,103,92,55,0,0
ALEKSCH01,Chuck,Aleksinas,N,74,1114,377,87,183,270,36,15,15,72,171,337,161,75,55,1,0
ALEXACO01,Cory,Alexander,N,305,4842,1677,78,403,481,834,263,37,467,514,1508,587,352,266,669,237
ALEXACO02,Courtney,Alexander,N,187,4069,1690,89,320,409,227,111,18,203,377,1552,655,417,339,121,41
ALEXAGA01,Gary,Alexander,N,11,55,19,7,8,15,2,3,0,8,10,14,8,9,3,0,0
ALEXAVI01,Victor,Alexander,N,286,5756,2542,439,945,1384,257,135,177,378,713,2126,1101,509,322,63,18
ALFORST01,Steve,Alford,N,169,1641,744,25,119,144,176,85,10,89,113,634,291,146,127,108,35
ALLENBI01,Bill,Allen,A,38,857,300,0,0,269,23,0,0,38,121,280,120,99,58,2,2
ALLENBO01,Bob,Allen,N,27,232,48,0,0,56,10,0,0,0,27,43,14,36,20,0,0
ALLENJE01,Jerome,Allen,N,41,362,108,5,20,25,49,21,5,34,42,105,36,36,26,33,10
ALLENLU01,Lucius,Allen,N,702,20159,9407,381,928,2205,3174,604,124,247,1799,8385,3884,2157,1639,0,0
ALLENMA01,Malik,Allen,N,173,3614,1204,217,464,681,93,61,136,175,384,1216,524,192,156,5,0
ALLENRA01,Randy,Allen,N,70,789,252,52,93,145,23,17,20,30,109,258,114,45,24,8,0
ALLENRA02,Ray,Allen,N,657,24358,13545,728,2327,3055,2587,818,116,1604,1634,10639,4741,2914,2577,3742,1486
ALLENTO01,Tony,Allen,N,77,1261,492,85,136,221,64,76,24,77,156,387,184,152,112,31,12
ALLENWI01,Willie,Allen,A,7,30,13,0,0,14,4,0,0,6,11,13,4,6,5,0,0
ALLISOD01,Odis,Allison,N,36,166,67,0,0,45,10,0,0,0,34,78,17,61,33,0,0
ALLUMDA01,Darrell,Allums,N,22,276,59,19,46,65,25,5,8,23,51,67,23,22,13,1,0
ALSTODE01,Derrick,Alston,N,139,2658,751,228,297,525,94,95,87,112,298,650,318,234,114,7,1
ALSTORA01,Rafer,Alston,N,323,7527,2654,101,637,738,1359,327,42,473,642,2443,952,492,361,1068,389
ALUMAPE01,Peter,Aluma,N,2,5,2,1,1,2,0,1,1,2,4,2,1,0,0,0,0
AMAECJO01,John,Amaechi,N,294,4814,1837,205,567,772,228,90,94,386,499,1646,663,760,510,13,1
AMAYAAS01,Ashraf,Amaya,N,85,1248,379,131,224,355,36,29,13,67,180,292,133,177,112,2,1
ANDERAN01,Andy,Anderson,A,194,4786,2081,0,0,527,327,0,0,173,462,1958,803,616,465,63,10
ANDERBO01,Bob,Anderegg,N,33,373,133,0,0,69,29,0,0,0,32,143,55,42,23,0,0
ANDERCA01,Cadillac,Anderson,N,680,14040,4953,1432,2814,4246,385,480,590,926,1741,4090,2011,1668,929,23,2
ANDERCH01,Chris,Andersen,N,221,3628,1133,335,723,1058,145,85,302,185,388,920,420,465,293,9,0
ANDERCL01,Cliff,Anderson,A,3,22,6,0,0,4,4,0,0,0,3,4,2,6,2,0,0
ANDERCL01,Cliff,Anderson,N,81,581,247,0,0,103,68,0,0,0,105,202,71,177,105,0,0
ANDERDA01,Danw,Anderson,A,140,4025,1707,0,0,1316,158,0,0,212,503,1421,683,469,341,0,0
ANDERDA02,Daniel,Anderson,N,95,1067,347,23,68,91,166,36,3,0,102,286,135,91,77,0,0
ANDERDE01,Derek,Anderson,N,494,15344,6468,341,1339,1680,1805,604,73,917,968,5200,2138,1943,1660,1553,532
ANDERDW01,Dwight,Anderson,N,5,33,21,0,2,2,3,1,0,5,7,14,7,10,7,0,0
ANDERER01,Eric,Anderson,N,27,83,42,12,19,31,5,3,2,7,23,35,12,27,16,2,2
ANDERJE01,Jerome,Anderson,N,49,290,127,13,12,25,16,9,5,0,51,104,51,36,25,0,0
ANDERKE01,Kim,Anderson,N,21,224,63,17,28,45,15,4,5,22,42,77,24,28,15,0,0
ANDERKE02,Kenny,Anderson,N,858,25870,10789,623,2018,2641,5196,1259,112,1768,1974,9512,4002,2833,2238,1580,547
ANDERMI01,Mitchell,Anderson,N,157,1970,751,186,253,439,110,107,39,131,251,658,306,249,139,9,0
ANDERMI02,Michael,Anderson,N,36,730,204,44,45,89,153,44,3,84,64,175,73,82,57,7,1
ANDERNI01,Nick,Anderson,N,800,24922,11529,1011,3053,4064,2087,1114,364,1358,1502,9891,4416,2461,1642,2964,1055
ANDERRI01,Richard,Anderson,N,407,6002,2260,457,961,1418,611,225,94,362,691,2206,909,386,294,445,148
ANDERRO01,Ron,Anderson,N,664,15112,7056,856,1456,2312,952,470,90,730,1019,6239,2936,1325,1079,366,105
ANDERSH01,Shandon,Anderson,N,671,15311,5201,527,1644,2171,977,539,174,935,1362,4240,1942,1374,1015,953,302
ANDERWA01,Wally,Anderzunas,N,44,370,159,0,0,82,9,0,0,0,47,166,65,46,29,0,0
